                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.2187,                 1.1806,                 1.0832,                0.42844,                0.48882,                0.38536,                0.19879,                 1.6732,                 1.3204,                 1.3536,              0.0005248,              0.0005248,              0.0005248
                     98,                 1.2154,                 1.1797,                 1.0809,                0.43648,                0.48544,                0.38532,                0.19995,                 1.6745,                 1.3398,                 1.3547,             0.00051985,             0.00051985,             0.00051985
                     99,                 1.2095,                 1.2105,                 1.0681,                0.45205,                0.48058,                0.39163,                0.20555,                 1.6721,                 1.2825,                 1.3509,              0.0005149,              0.0005149,              0.0005149
                    100,                  1.235,                  1.216,                 1.0823,                0.42215,                0.44134,                0.37146,                0.19015,                 1.6838,                 1.3402,                 1.3531,             0.00050995,             0.00050995,             0.00050995
                    101,                 1.2176,                 1.1655,                  1.068,                0.41571,                0.49421,                0.37926,                0.19395,                 1.6992,                 1.3237,                 1.3795,               0.000505,               0.000505,               0.000505
                    102,                 1.2008,                 1.1771,                 1.0734,                0.44174,                0.45133,                0.37325,                0.19271,                 1.6705,                 1.3338,                 1.3529,             0.00050005,             0.00050005,             0.00050005
                    103,                 1.2141,                 1.1803,                   1.07,                0.42856,                0.43595,                0.38054,                0.19404,                 1.7029,                 1.3145,                 1.3631,              0.0004951,              0.0004951,              0.0004951
                    104,                 1.2214,                 1.2436,                  1.074,                0.42728,                0.46917,                 0.3727,                0.19578,                 1.7128,                  1.294,                 1.3792,             0.00049015,             0.00049015,             0.00049015
                    105,                 1.2115,                 1.1713,                 1.0656,                0.45127,                0.43069,                 0.3749,                0.19634,                 1.7047,                 1.3055,                 1.3812,              0.0004852,              0.0004852,              0.0004852
                    106,                  1.198,                  1.135,                 1.0612,                0.44022,                0.46315,                0.39059,                0.20501,                 1.6841,                 1.2969,                 1.3567,             0.00048025,             0.00048025,             0.00048025
                    107,                 1.2211,                 1.1732,                  1.068,                0.41429,                0.48511,                0.38583,                0.20196,                 1.6885,                 1.2867,                 1.3558,              0.0004753,              0.0004753,              0.0004753
                    108,                 1.1954,                 1.1437,                 1.0671,                0.43036,                0.46674,                0.38684,                0.20017,                 1.6694,                 1.2683,                 1.3546,             0.00047035,             0.00047035,             0.00047035
                    109,                 1.2095,                 1.1666,                 1.0734,                0.47122,                0.48616,                0.38291,                0.19889,                 1.7024,                 1.3096,                 1.3682,              0.0004654,              0.0004654,              0.0004654
                    110,                  1.194,                 1.1202,                 1.0699,                0.42643,                0.49812,                0.38166,                0.19912,                 1.6984,                 1.3034,                 1.3635,             0.00046045,             0.00046045,             0.00046045
                    111,                 1.1883,                 1.1395,                 1.0586,                0.42908,                0.49889,                 0.3821,                0.19533,                 1.6986,                 1.3073,                 1.3554,              0.0004555,              0.0004555,              0.0004555
                    112,                 1.1909,                 1.1312,                 1.0624,                0.43677,                0.48142,                0.37763,                0.19303,                   1.71,                 1.3118,                  1.368,             0.00045055,             0.00045055,             0.00045055
                    113,                 1.1785,                 1.1647,                 1.0629,                0.42811,                0.47447,                 0.3894,                0.19931,                 1.6982,                 1.2982,                  1.372,              0.0004456,              0.0004456,              0.0004456
                    114,                 1.1883,                 1.1383,                 1.0627,                0.40124,                0.46916,                 0.3738,                0.19818,                 1.7059,                  1.288,                 1.3654,             0.00044065,             0.00044065,             0.00044065
                    115,                  1.182,                 1.1318,                 1.0607,                0.40584,                0.46995,                0.37823,                0.19387,                 1.6988,                 1.3072,                 1.3691,              0.0004357,              0.0004357,              0.0004357
                    116,                 1.1866,                 1.1133,                 1.0504,                 0.4379,                0.46131,                0.38596,                 0.1981,                 1.6919,                 1.3102,                 1.3659,             0.00043075,             0.00043075,             0.00043075
                    117,                 1.1733,                  1.111,                  1.057,                0.43084,                0.44216,                0.38003,                0.20169,                 1.6849,                 1.2969,                  1.357,              0.0004258,              0.0004258,              0.0004258
                    118,                 1.1859,                 1.1058,                 1.0562,                   0.37,                0.46086,                0.36922,                0.19699,                 1.6838,                 1.2731,                 1.3499,             0.00042085,             0.00042085,             0.00042085
                    119,                 1.1767,                 1.0846,                 1.0541,                0.38743,                0.46134,                0.37309,                0.19459,                  1.691,                 1.2966,                 1.3533,              0.0004159,              0.0004159,              0.0004159
                    120,                 1.1587,                 1.0976,                 1.0568,                 0.4086,                0.43933,                0.36591,                0.19101,                 1.7021,                 1.3199,                 1.3664,             0.00041095,             0.00041095,             0.00041095
