"Step","volcanic-bush-67 - Test Accuracy","volcanic-bush-67 - Test Accuracy__MIN","volcanic-bush-67 - Test Accuracy__MAX","volcanic-bush-67 - Train Accuracy","volcanic-bush-67 - Train Accuracy__MIN","volcanic-bush-67 - Train Accuracy__MAX"
"327","30.263157894736842","30.263157894736842","30.263157894736842","","",""
"328","","","","","",""
"329","","","","","",""
"330","","","","","",""
"331","","","","","",""
"332","","","","","",""
"333","","","","65.11627906976744","65.11627906976744","65.11627906976744"
"334","38.1578947368421","38.1578947368421","38.1578947368421","","",""
"335","","","","","",""
"336","","","","","",""
"337","","","","","",""
"338","","","","","",""
"339","","","","","",""
"340","","","","68.13953488372093","68.13953488372093","68.13953488372093"
"341","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"342","","","","","",""
"343","","","","","",""
"344","","","","","",""
"345","","","","","",""
"346","","","","","",""
"347","","","","66.97674418604652","66.97674418604652","66.97674418604652"
"348","66.44736842105263","66.44736842105263","66.44736842105263","","",""
"349","","","","","",""
"350","","","","","",""
"351","","","","","",""
"352","","","","","",""
"353","","","","","",""
"354","","","","66.27906976744185","66.27906976744185","66.27906976744185"
"355","63.1578947368421","63.1578947368421","63.1578947368421","","",""
"356","","","","","",""
"357","","","","","",""
"358","","","","","",""
"359","","","","","",""
"360","","","","","",""
"361","","","","69.76744186046511","69.76744186046511","69.76744186046511"
"362","46.71052631578947","46.71052631578947","46.71052631578947","","",""
"363","","","","","",""
"364","","","","","",""
"365","","","","","",""
"366","","","","","",""
"367","","","","","",""
"368","","","","67.67441860465117","67.67441860465117","67.67441860465117"
"369","57.23684210526316","57.23684210526316","57.23684210526316","","",""
"370","","","","","",""
"371","","","","","",""
"372","","","","","",""
"373","","","","","",""
"374","","","","","",""
"375","","","","72.09302325581395","72.09302325581395","72.09302325581395"
"376","70.39473684210526","70.39473684210526","70.39473684210526","","",""
"377","","","","","",""
"378","","","","","",""
"379","","","","","",""
"380","","","","","",""
"381","","","","","",""
"382","","","","73.48837209302326","73.48837209302326","73.48837209302326"
"383","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"384","","","","","",""
"385","","","","","",""
"386","","","","","",""
"387","","","","","",""
"388","","","","","",""
"389","","","","73.0232558139535","73.0232558139535","73.0232558139535"
"390","59.86842105263158","59.86842105263158","59.86842105263158","","",""
"391","","","","","",""
"392","","","","","",""
"393","","","","","",""
"394","","","","","",""
"395","","","","","",""
"396","","","","70","70","70"
"397","65.78947368421052","65.78947368421052","65.78947368421052","","",""
"398","","","","","",""
"399","","","","","",""
"400","","","","","",""
"401","","","","","",""
"402","","","","","",""
"403","","","","68.6046511627907","68.6046511627907","68.6046511627907"
"404","41.44736842105263","41.44736842105263","41.44736842105263","","",""
"405","","","","","",""
"406","","","","","",""
"407","","","","","",""
"408","","","","","",""
"409","","","","","",""
"410","","","","72.79069767441861","72.79069767441861","72.79069767441861"
"411","55.26315789473684","55.26315789473684","55.26315789473684","","",""
"412","","","","","",""
"413","","","","","",""
"414","","","","","",""
"415","","","","","",""
"416","","","","","",""
"417","","","","71.86046511627907","71.86046511627907","71.86046511627907"
"418","67.10526315789474","67.10526315789474","67.10526315789474","","",""
"419","","","","","",""
"420","","","","","",""
"421","","","","","",""
"422","","","","","",""
"423","","","","","",""
"424","","","","76.04651162790698","76.04651162790698","76.04651162790698"
"425","46.71052631578947","46.71052631578947","46.71052631578947","","",""
"426","","","","","",""
"427","","","","","",""
"428","","","","","",""
"429","","","","","",""
"430","","","","","",""
"431","","","","72.55813953488372","72.55813953488372","72.55813953488372"
"432","69.07894736842105","69.07894736842105","69.07894736842105","","",""
"433","","","","","",""
"434","","","","","",""
"435","","","","","",""
"436","","","","","",""
"437","","","","","",""
"438","","","","73.95348837209302","73.95348837209302","73.95348837209302"
"439","63.1578947368421","63.1578947368421","63.1578947368421","","",""
"440","","","","","",""
"441","","","","","",""
"442","","","","","",""
"443","","","","","",""
"444","","","","","",""
"445","","","","75.5813953488372","75.5813953488372","75.5813953488372"
"446","69.07894736842105","69.07894736842105","69.07894736842105","","",""
"447","","","","","",""
"448","","","","","",""
"449","","","","","",""
"450","","","","","",""
"451","","","","","",""
"452","","","","73.95348837209302","73.95348837209302","73.95348837209302"
"453","36.18421052631579","36.18421052631579","36.18421052631579","","",""
"454","","","","","",""
"455","","","","","",""
"456","","","","","",""
"457","","","","","",""
"458","","","","","",""
"459","","","","64.18604651162791","64.18604651162791","64.18604651162791"
"460","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"461","","","","","",""
"462","","","","","",""
"463","","","","","",""
"464","","","","","",""
"465","","","","","",""
"466","","","","64.18604651162791","64.18604651162791","64.18604651162791"
"467","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"468","","","","","",""
"469","","","","","",""
"470","","","","","",""
"471","","","","","",""
"472","","","","","",""
"473","","","","65.11627906976744","65.11627906976744","65.11627906976744"
"474","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"475","","","","","",""
"476","","","","","",""
"477","","","","","",""
"478","","","","","",""
"479","","","","","",""
"480","","","","62.7906976744186","62.7906976744186","62.7906976744186"
"481","46.05263157894737","46.05263157894737","46.05263157894737","","",""
"482","","","","","",""
"483","","","","","",""
"484","","","","","",""
"485","","","","","",""
"486","","","","","",""
"487","","","","62.32558139534884","62.32558139534884","62.32558139534884"
"488","54.60526315789474","54.60526315789474","54.60526315789474","","",""
"489","","","","","",""
"490","","","","","",""
"491","","","","","",""
"492","","","","","",""
"493","","","","","",""
"494","","","","63.25581395348837","63.25581395348837","63.25581395348837"
"495","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"496","","","","","",""
"497","","","","","",""
"498","","","","","",""
"499","","","","","",""
"500","","","","","",""
"501","","","","66.97674418604652","66.97674418604652","66.97674418604652"
"502","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"503","","","","","",""
"504","","","","","",""
"505","","","","","",""
"506","","","","","",""
"507","","","","","",""
"508","","","","66.97674418604652","66.97674418604652","66.97674418604652"
"509","51.31578947368421","51.31578947368421","51.31578947368421","","",""
"510","","","","","",""
"511","","","","","",""
"512","","","","","",""
"513","","","","","",""
"514","","","","","",""
"515","","","","66.51162790697674","66.51162790697674","66.51162790697674"
"516","63.81578947368421","63.81578947368421","63.81578947368421","","",""
"517","","","","","",""
"518","","","","","",""
"519","","","","","",""
"520","","","","","",""
"521","","","","","",""
"522","","","","69.76744186046511","69.76744186046511","69.76744186046511"
"523","47.36842105263158","47.36842105263158","47.36842105263158","","",""
"524","","","","","",""
"525","","","","","",""
"526","","","","","",""
"527","","","","","",""
"528","","","","","",""
"529","","","","66.74418604651163","66.74418604651163","66.74418604651163"
"530","53.28947368421053","53.28947368421053","53.28947368421053","","",""
"531","","","","","",""
"532","","","","","",""
"533","","","","","",""
"534","","","","","",""
"535","","","","","",""
"536","","","","69.76744186046511","69.76744186046511","69.76744186046511"
"537","61.8421052631579","61.8421052631579","61.8421052631579","","",""
"538","","","","","",""
"539","","","","","",""
"540","","","","","",""
"541","","","","","",""
"542","","","","","",""
"543","","","","65.34883720930232","65.34883720930232","65.34883720930232"
"544","67.76315789473684","67.76315789473684","67.76315789473684","","",""
"545","","","","","",""
"546","","","","","",""
"547","","","","","",""
"548","","","","","",""
"549","","","","","",""
"550","","","","67.67441860465117","67.67441860465117","67.67441860465117"
"551","65.13157894736842","65.13157894736842","65.13157894736842","","",""
"552","","","","","",""
"553","","","","","",""
"554","","","","","",""
"555","","","","","",""
"556","","","","","",""
"557","","","","70.93023255813954","70.93023255813954","70.93023255813954"
"558","55.921052631578945","55.921052631578945","55.921052631578945","","",""
"559","","","","","",""
"560","","","","","",""
"561","","","","","",""
"562","","","","","",""
"563","","","","","",""
"564","","","","71.16279069767441","71.16279069767441","71.16279069767441"
"565","51.973684210526315","51.973684210526315","51.973684210526315","","",""
"566","","","","","",""
"567","","","","","",""
"568","","","","","",""
"569","","","","","",""
"570","","","","","",""
"571","","","","71.3953488372093","71.3953488372093","71.3953488372093"
"572","50","50","50","","",""
"573","","","","","",""
"574","","","","","",""
"575","","","","","",""
"576","","","","","",""
"577","","","","","",""
"578","","","","72.32558139534883","72.32558139534883","72.32558139534883"
"579","55.26315789473684","55.26315789473684","55.26315789473684","","",""
"580","","","","","",""
"581","","","","","",""
"582","","","","","",""
"583","","","","","",""
"584","","","","","",""
"585","","","","70.23255813953489","70.23255813953489","70.23255813953489"
"586","67.76315789473684","67.76315789473684","67.76315789473684","","",""
"587","","","","","",""
"588","","","","","",""
"589","","","","","",""
"590","","","","","",""
"591","","","","","",""
"592","","","","70.23255813953489","70.23255813953489","70.23255813953489"
"593","49.3421052631579","49.3421052631579","49.3421052631579","","",""
"594","","","","","",""
"595","","","","","",""
"596","","","","","",""
"597","","","","","",""
"598","","","","","",""
"599","","","","67.44186046511628","67.44186046511628","67.44186046511628"
"600","57.89473684210526","57.89473684210526","57.89473684210526","","",""
"601","","","","","",""
"602","","","","","",""
"603","","","","","",""
"604","","","","","",""
"605","","","","","",""
